state,period,average_mortality_rate
TN,2020-07-01 to 2021-02-01,4.406451612903226
TN,2021-02-01 to 2021-09-01,1.96
TN,2021-09-01 to 2022-06-01,3.98974358974359
TN,2022-06-01 to 2023-03-01,1.064102564102564
TN,2023-03-01 to 2024-12-01,0.5472727272727272
TN,Before 2020-07-01,0.3375
TX,2020-07-01 to 2021-02-01,4.377419354838709
TX,2021-02-01 to 2021-09-01,2.2133333333333334
TX,2021-09-01 to 2022-06-01,2.7153846153846155
TX,2022-06-01 to 2023-03-01,0.5897435897435898
TX,2023-03-01 to 2024-12-01,0.23095238095238096
TX,Before 2020-07-01,0.4608695652173913
UT,2020-07-01 to 2021-02-01,1.962962962962963
UT,2021-02-01 to 2021-09-01,1.09375
UT,2021-09-01 to 2022-06-01,2.1892857142857145
UT,2022-06-01 to 2023-03-01,0.7
UT,2023-03-01 to 2024-12-01,0
UT,Before 2020-07-01,0.04615384615384615
VA,2020-07-01 to 2021-02-01,2.458064516129032
VA,2021-02-01 to 2021-09-01,1.4137931034482758
VA,2021-09-01 to 2022-06-01,2.417948717948718
VA,2022-06-01 to 2023-03-01,0.8153846153846154
VA,2023-03-01 to 2024-12-01,0.45849056603773586
VA,Before 2020-07-01,0.9791666666666667
VT,2020-07-01 to 2021-02-01,0.22
VT,2021-02-01 to 2021-09-01,0
VT,2021-09-01 to 2022-06-01,3.2
VT,2022-06-01 to 2023-03-01,NA
VT,2023-03-01 to 2024-12-01,0
VT,Before 2020-07-01,0
WA,2020-07-01 to 2021-02-01,1.3483870967741935
WA,2021-02-01 to 2021-09-01,0.89
WA,2021-09-01 to 2022-06-01,1.9205128205128206
WA,2022-06-01 to 2023-03-01,0.6743589743589744
WA,2023-03-01 to 2024-12-01,0.38545454545454544
WA,Before 2020-07-01,0.664
WI,2020-07-01 to 2021-02-01,3.574193548387097
WI,2021-02-01 to 2021-09-01,0.925
WI,2021-09-01 to 2022-06-01,2.854054054054054
WI,2022-06-01 to 2023-03-01,0.7435897435897436
WI,2023-03-01 to 2024-12-01,0.5689655172413793
WI,Before 2020-07-01,0.5739130434782609
WV,2020-07-01 to 2021-02-01,4.9559999999999995
WV,2021-02-01 to 2021-09-01,2.268181818181818
WV,2021-09-01 to 2022-06-01,6.328571428571428
WV,2022-06-01 to 2023-03-01,1.6470588235294117
WV,2023-03-01 to 2024-12-01,0.8923076923076922
WV,Before 2020-07-01,0
WY,2020-07-01 to 2021-02-01,6.15625
WY,2021-02-01 to 2021-09-01,3.44
WY,2021-09-01 to 2022-06-01,6.680952380952381
WY,2022-06-01 to 2023-03-01,NA
WY,2023-03-01 to 2024-12-01,0
WY,Before 2020-07-01,0
